Status,URL,Encoded URL,Error Message
200,"https://studyleo.com/bg/такси-за-обучение-в-билкентски-университет-за-международни-студенти","https://studyleo.com/bg/%D1%82%D0%B0%D0%BA%D1%81%D0%B8-%D0%B7%D0%B0-%D0%BE%D0%B1%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B2-%D0%B1%D0%B8%D0%BB%D0%BA%D0%B5%D0%BD%D1%82%D1%81%D0%BA%D0%B8-%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82-%D0%B7%D0%B0-%D0%BC%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B8-%D1%81%D1%82%D1%83%D0%B4%D0%B5%D0%BD%D1%82%D0%B8",""
200,"https://studyleo.com/bg/taksy-za-obuchenie-v-universitet-dogus-za-mezhdunarodni-studenti","https://studyleo.com/bg/taksy-za-obuchenie-v-universitet-dogus-za-mezhdunarodni-studenti",""
200,"https://studyleo.com/bg/taksi-za-uchebni-taksii-v-universitet-fatih-sultan-mehmed-za-mejdunarodni-studenti","https://studyleo.com/bg/taksi-za-uchebni-taksii-v-universitet-fatih-sultan-mehmed-za-mejdunarodni-studenti",""
200,"https://studyleo.com/bg/такси-за-обучение-в-унверситета-истамбул-кент-за-международни-студенти","https://studyleo.com/bg/%D1%82%D0%B0%D0%BA%D1%81%D0%B8-%D0%B7%D0%B0-%D0%BE%D0%B1%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B2-%D1%83%D0%BD%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%D0%B0-%D0%B8%D1%81%D1%82%D0%B0%D0%BC%D0%B1%D1%83%D0%BB-%D0%BA%D0%B5%D0%BD%D1%82-%D0%B7%D0%B0-%D0%BC%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B8-%D1%81%D1%82%D1%83%D0%B4%D0%B5%D0%BD%D1%82%D0%B8",""
200,"https://studyleo.com/bg/такси-за-обучение-в-университета-истамбул-медипол-за-интернационални-студенти","https://studyleo.com/bg/%D1%82%D0%B0%D0%BA%D1%81%D0%B8-%D0%B7%D0%B0-%D0%BE%D0%B1%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B2-%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%D0%B0-%D0%B8%D1%81%D1%82%D0%B0%D0%BC%D0%B1%D1%83%D0%BB-%D0%BC%D0%B5%D0%B4%D0%B8%D0%BF%D0%BE%D0%BB-%D0%B7%D0%B0-%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%BD%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D0%BD%D0%B8-%D1%81%D1%82%D1%83%D0%B4%D0%B5%D0%BD%D1%82%D0%B8",""
200,"https://studyleo.com/bg/takshe-krediti-v-universitet-istanbul-nisantasi-za-mejdunarodni-studenti","https://studyleo.com/bg/takshe-krediti-v-universitet-istanbul-nisantasi-za-mejdunarodni-studenti",""
200,"https://studyleo.com/bg/такси-обучение-в-унверситет-истамбул-топкапи-за-международни-студенти","https://studyleo.com/bg/%D1%82%D0%B0%D0%BA%D1%81%D0%B8-%D0%BE%D0%B1%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B2-%D1%83%D0%BD%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82-%D0%B8%D1%81%D1%82%D0%B0%D0%BC%D0%B1%D1%83%D0%BB-%D1%82%D0%BE%D0%BF%D0%BA%D0%B0%D0%BF%D0%B8-%D0%B7%D0%B0-%D0%BC%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B8-%D1%81%D1%82%D1%83%D0%B4%D0%B5%D0%BD%D1%82%D0%B8",""
200,"https://studyleo.com/bg/tukovi-taksy-v-universitet-istanbul-yeni-yuzyil-za-mezhdunarodni-studenti","https://studyleo.com/bg/tukovi-taksy-v-universitet-istanbul-yeni-yuzyil-za-mezhdunarodni-studenti",""
200,"https://studyleo.com/bg/такси-за-обучение-в-унверситет-ускудар-за-международни-студенти","https://studyleo.com/bg/%D1%82%D0%B0%D0%BA%D1%81%D0%B8-%D0%B7%D0%B0-%D0%BE%D0%B1%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B2-%D1%83%D0%BD%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82-%D1%83%D1%81%D0%BA%D1%83%D0%B4%D0%B0%D1%80-%D0%B7%D0%B0-%D0%BC%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B8-%D1%81%D1%82%D1%83%D0%B4%D0%B5%D0%BD%D1%82%D0%B8",""
200,"https://studyleo.com/bg/obuchenie-po-schetovodstvo-v-turciya","https://studyleo.com/bg/obuchenie-po-schetovodstvo-v-turciya",""
